newdist,category,horse_name,wrace,life_win,horse_weight,lspedrat,aversprat,jock_per_win,jock_num_win,jockey_weight,postpos,result,winner
False,TCab 3a y+,Star Fan,823591.06,12.121,492.0,58.537,57.397,13.242,174,59.0,5,1,True
False,TCab 3a y+,Alblack,841988.48,21.875,546.0,61.017,60.161,17.972,140,59.0,6,2,False
True,TCab 3a y+,Sub Chopper,578682.68,30.769,404.0,59.682,56.619,15.301,140,59.0,1,3,False
False,TCab 3a y+,Relincho Alegre,554785.85,26.087,424.0,61.935,60.64,12.758,179,59.0,7,4,False
False,TCab 3a y+,Roar Luminozo,165277.8,5.556,490.0,60.888,56.691,9.289,47,59.0,2,5,False
True,TCab 3a y+,Universitaria,364157.04,21.429,416.0,61.633,60.353,11.538,147,57.0,3,6,False
True,TCab 3a y+,Grand Black,183374.98,21.429,454.0,58.271,58.335,7.809,72,59.0,8,7,False
True,TCab 3a y+,Papillote,253024.53,30.769,488.0,61.11,58.738,12.121,52,59.0,4,8,False
False,Clas Pllos 3a,El Danzarín,1020681.47,75.0,482.0,61.296,61.008,17.972,140,56.0,4,1,True
False,Clas Pllos 3a,El Gorrión,829468.68,14.286,506.0,59.797,59.328,15.46,158,56.0,2,2,False
False,Clas Pllos 3a,Gipsy Track,317828.51,11.111,462.0,60.218,59.684,11.538,147,56.0,1,3,False
False,Clas Pllos 3a,Ethanol,1182663.33,42.857,488.0,57.512,60.094,12.611,99,56.0,3,4,False
False,TCab 4a y+ g de 2 y 3,Benizi,1212312.97,35.714,458.0,58.712,59.666,10.247,54,53.0,6,1,True
False,TCab 4a y+ g de 2 y 3,Papa Toro,974547.25,45.455,522.0,59.892,59.622,13.242,174,54.0,5,2,False
False,TCab 4a y+ g de 2 y 3,El Baluarte,978743.96,26.667,418.0,58.549,58.897,6.88,43,57.0,7,3,False
False,TCab 4a y+ g de 2 y 3,Onda Maior,833434.48,31.25,456.0,60.232,59.696,7.809,72,56.0,2,4,False
False,TCab 4a y+ g de 2 y 3,Sweat Mon,688551.97,70.0,498.0,62.321,60.739,12.611,99,61.0,1,5,False
False,TCab 4a y+ g de 2 y 3,Unstoppable,424956.29,4.348,500.0,57.724,58.742,9.864,58,53.0,3,6,False
True,TCab 4a y+ g de 2 y 3,Grand Star,817604.74,12.5,,57.622,59.2,9.281,133,51.0,4,0,False
False,Hcap TCab 4a y+ g de 1,Latin Power,1325481.29,21.739,434.0,55.454,56.745,7.167,42,59.0,4,1,True
True,Hcap TCab 4a y+ g de 1,Trasfoguero,2113610.69,23.077,480.0,56.646,58.65,15.301,140,61.0,1,2,False
False,Hcap TCab 4a y+ g de 1,Nansouk,500649.77,12.5,498.0,58.812,57.737,17.972,140,57.0,2,3,False
False,Hcap TCab 4a y+ g de 1,Big Fitz,328002.71,10.714,446.0,58.178,58.497,13.242,174,51.0,7,4,False
False,Hcap TCab 4a y+ g de 1,Zezeu,340349.91,4.167,460.0,55.779,57.825,12.611,99,59.0,3,5,False
False,Hcap TCab 4a y+ g de 1,Pinot Noir,396649.47,3.125,436.0,57.02,57.76,10.106,19,50.0,5,6,False
False,Clas Pcas 3a,Gran Taffeta,775076.24,30.0,456.0,59.957,59.325,9.864,58,56.0,8,1,True
False,Clas Pcas 3a,Madame Sauvage,522899.0,42.857,466.0,59.717,59.485,17.972,140,56.0,7,2,False
False,Clas Pcas 3a,Minister Asesora,618255.62,7.143,464.0,60.707,59.978,5.512,7,56.0,2,3,False
False,Clas Pcas 3a,La Soprana,527225.98,25.0,396.0,60.968,58.988,15.301,140,56.0,4,4,False
False,Clas Pcas 3a,Cafe Osa Melosa,144729.78,33.333,412.0,59.695,59.566,15.46,158,56.0,6,5,False
False,Clas Pcas 3a,Sub Princess,886449.21,50.0,434.0,60.558,60.375,13.242,174,56.0,3,6,False
False,Clas Pcas 3a,Palapila,144729.78,20.0,,60.443,59.13,8.951,87,56.0,5,0,False
True,Clas Pcas 3a,Papillotante,0.0,0.0,,,,10.247,54,56.0,1,0,False
False,Pllos 3a g de 1,Pleitero,394687.1,50.0,446.0,59.08,59.423,9.281,133,57.0,5,1,True
True,Pllos 3a g de 1,Old Glory,904215.57,14.286,494.0,60.586,60.323,12.758,179,57.0,2,2,False
True,Pllos 3a g de 1,Gamo,211860.12,25.0,440.0,60.011,59.697,17.972,140,56.0,4,3,False
